key_id,tournament_id,tournament_name,world_cup_year,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,home_team_score,away_team_score,goal_difference,total_goals,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties,result,result_name,result_label,home_team_win,away_team_win,draw,home_historical_matches,home_historical_wins,home_historical_draws,home_historical_losses,home_historical_goals_for,home_historical_goals_against,home_historical_goal_diff,home_historical_points,home_world_cups_played_before,home_win_rate_before,home_draw_rate_before,home_loss_rate_before,home_avg_goals_for_before,home_avg_goals_against_before,home_points_per_match_before,home_last5_avg_goals_for,home_last5_avg_goals_against,home_last5_win_rate,away_historical_matches,away_historical_wins,away_historical_draws,away_historical_losses,away_historical_goals_for,away_historical_goals_against,away_historical_goal_diff,away_historical_points,away_world_cups_played_before,away_win_rate_before,away_draw_rate_before,away_loss_rate_before,away_avg_goals_for_before,away_avg_goals_against_before,away_points_per_match_before,away_last5_avg_goals_for,away_last5_avg_goals_against,away_last5_win_rate,home_vs_away_h2h_matches_before,home_h2h_wins_before,away_h2h_wins_before,h2h_draws_before
21,WC-1934,1934 FIFA World Cup,1934,M-1934-03,Germany v Belgium,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-072,Stadio Giovanni Berta,Florence,Italy,T-29,Germany,DEU,T-06,Belgium,BEL,5,2,3,7,0,0,0,0,home team win,home_win,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,2,0,4,-4,0,1,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0,0,0,0
22,WC-1934,1934 FIFA World Cup,1934,M-1934-04,Hungary v Egypt,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-075,Stadio Giorgio Ascarelli,Naples,Italy,T-34,Hungary,HUN,T-25,Egypt,EGY,4,2,2,6,0,0,0,0,home team win,home_win,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
23,WC-1934,1934 FIFA World Cup,1934,M-1934-05,Italy v United States,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-078,Stadio Nazionale PNF,Rome,Italy,T-39,Italy,ITA,T-80,United States,USA,7,1,6,8,0,0,0,0,home team win,home_win,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,1,7,6,1,6,1,0.6666666666666666,0.0,0.3333333333333333,2.333333333333333,2.0,2.0,2.333333333333333,2.0,0.6666666666666666,0,0,0,0
24,WC-1934,1934 FIFA World Cup,1934,M-1934-06,Spain v Brazil,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-073,Stadio Luigi Ferraris,Genoa,Italy,T-71,Spain,ESP,T-09,Brazil,BRA,3,1,2,4,0,0,0,0,home team win,home_win,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,1,5,2,3,3,1,0.5,0.0,0.5,2.5,1.0,1.5,2.5,1.0,0.5,0,0,0,0
25,WC-1934,1934 FIFA World Cup,1934,M-1934-07,Sweden v Argentina,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-069,Stadio Renato Dall'Ara,Bologna,Italy,T-72,Sweden,SWE,T-03,Argentina,ARG,3,2,1,5,0,0,0,0,home team win,home_win,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,0,1,18,9,9,12,1,0.8,0.0,0.2,3.6,1.8,2.4,3.6,1.8,0.8,0,0,0,0
26,WC-1934,1934 FIFA World Cup,1934,M-1934-08,Switzerland v Netherlands,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-074,San Siro,Milan,Italy,T-73,Switzerland,CHE,T-46,Netherlands,NLD,3,2,1,5,0,0,0,0,home team win,home_win,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
27,WC-1934,1934 FIFA World Cup,1934,M-1934-09,Austria v Hungary,quarter-finals,not applicable,0,1,0,0,1934-05-31,16:30,S-069,Stadio Renato Dall'Ara,Bologna,Italy,T-05,Austria,AUT,T-34,Hungary,HUN,2,1,1,3,0,0,0,0,home team win,home_win,2,1,0,0,1,1,0,0,3,2,1,3,1,1.0,0.0,0.0,3.0,2.0,3.0,3.0,2.0,1.0,1,1,0,0,4,2,2,3,1,1.0,0.0,0.0,4.0,2.0,3.0,4.0,2.0,1.0,0,0,0,0
28,WC-1934,1934 FIFA World Cup,1934,M-1934-10,Czechoslovakia v Switzerland,quarter-finals,not applicable,0,1,0,0,1934-05-31,16:30,S-081,Stadio Benito Mussolini,Turin,Italy,T-20,Czechoslovakia,CSK,T-73,Switzerland,CHE,3,2,1,5,0,0,0,0,home team win,home_win,2,1,0,0,1,1,0,0,2,1,1,3,1,1.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,1,1,0,0,3,2,1,3,1,1.0,0.0,0.0,3.0,2.0,3.0,3.0,2.0,1.0,0,0,0,0
29,WC-1934,1934 FIFA World Cup,1934,M-1934-11,Germany v Sweden,quarter-finals,not applicable,0,1,0,0,1934-05-31,16:30,S-074,San Siro,Milan,Italy,T-29,Germany,DEU,T-72,Sweden,SWE,2,1,1,3,0,0,0,0,home team win,home_win,2,1,0,0,1,1,0,0,5,2,3,3,1,1.0,0.0,0.0,5.0,2.0,3.0,5.0,2.0,1.0,1,1,0,0,3,2,1,3,1,1.0,0.0,0.0,3.0,2.0,3.0,3.0,2.0,1.0,0,0,0,0
30,WC-1934,1934 FIFA World Cup,1934,M-1934-12,Italy v Spain,quarter-finals,not applicable,0,1,1,0,1934-05-31,16:30,S-072,Stadio Giovanni Berta,Florence,Italy,T-39,Italy,ITA,T-71,Spain,ESP,1,1,0,2,1,0,0,0,draw,draw,1,0,0,1,1,1,0,0,7,1,6,3,1,1.0,0.0,0.0,7.0,1.0,3.0,7.0,1.0,1.0,1,1,0,0,3,1,2,3,1,1.0,0.0,0.0,3.0,1.0,3.0,3.0,1.0,1.0,0,0,0,0
